DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ACRONYM,HOME_ACRONYM
2023-10-24,Los Angeles Lakers,107,Denver Nuggets,119,LAL,DEN
2023-10-24,Phoenix Suns,108,Golden State Warriors,104,PHO,GSW
2023-10-25,Houston Rockets,86,Orlando Magic,116,HOU,ORL
2023-10-25,Boston Celtics,108,New York Knicks,104,BOS,NYK
2023-10-25,Washington Wizards,120,Indiana Pacers,143,WAS,IND
2023-10-25,Atlanta Hawks,110,Charlotte Hornets,116,ATL,CHO
2023-10-25,Detroit Pistons,102,Miami Heat,103,DET,MIA
2023-10-25,Minnesota Timberwolves,94,Toronto Raptors,97,MIN,TOR
2023-10-25,Cleveland Cavaliers,114,Brooklyn Nets,113,CLE,BRK
2023-10-25,New Orleans Pelicans,111,Memphis Grizzlies,104,NOP,MEM
2023-10-25,Oklahoma City Thunder,124,Chicago Bulls,104,OKC,CHI
2023-10-25,Sacramento Kings,130,Utah Jazz,114,SAC,UTA
2023-10-25,Dallas Mavericks,126,San Antonio Spurs,119,DAL,SAS
2023-10-25,Portland Trail Blazers,111,Los Angeles Clippers,123,POR,LAC
2023-10-26,Philadelphia 76ers,117,Milwaukee Bucks,118,PHI,MIL
2023-10-26,Phoenix Suns,95,Los Angeles Lakers,100,PHO,LAL
2023-10-27,Denver Nuggets,108,Memphis Grizzlies,104,DEN,MEM
2023-10-27,Detroit Pistons,111,Charlotte Hornets,99,DET,CHO
2023-10-27,New York Knicks,126,Atlanta Hawks,120,NYK,ATL
2023-10-27,Oklahoma City Thunder,108,Cleveland Cavaliers,105,OKC,CLE
2023-10-27,Miami Heat,111,Boston Celtics,119,MIA,BOS
2023-10-27,Toronto Raptors,103,Chicago Bulls,104,TOR,CHI
2023-10-27,Houston Rockets,122,San Antonio Spurs,126,HOU,SAS
2023-10-27,Brooklyn Nets,120,Dallas Mavericks,125,BRK,DAL
2023-10-27,Los Angeles Clippers,118,Utah Jazz,120,LAC,UTA
2023-10-27,Orlando Magic,102,Portland Trail Blazers,97,ORL,POR
2023-10-27,Golden State Warriors,122,Sacramento Kings,114,GSW,SAC
2023-10-28,Chicago Bulls,102,Detroit Pistons,118,CHI,DET
2023-10-28,Memphis Grizzlies,106,Washington Wizards,113,MEM,WAS
2023-10-28,New York Knicks,87,New Orleans Pelicans,96,NYK,NOP
2023-10-28,Indiana Pacers,125,Cleveland Cavaliers,113,IND,CLE
2023-10-28,Philadelphia 76ers,114,Toronto Raptors,107,PHI,TOR
2023-10-28,Miami Heat,90,Minnesota Timberwolves,106,MIA,MIN
2023-10-28,Utah Jazz,104,Phoenix Suns,126,UTA,PHO
2023-10-29,Denver Nuggets,128,Oklahoma City Thunder,95,DEN,OKC
2023-10-29,Golden State Warriors,106,Houston Rockets,95,GSW,HOU
2023-10-29,Atlanta Hawks,127,Milwaukee Bucks,110,ATL,MIL
2023-10-29,Portland Trail Blazers,98,Philadelphia 76ers,126,POR,PHI
2023-10-29,San Antonio Spurs,83,Los Angeles Clippers,123,SAS,LAC
2023-10-29,Los Angeles Lakers,127,Sacramento Kings,132,LAL,SAC
2023-10-30,Chicago Bulls,112,Indiana Pacers,105,CHI,IND
2023-10-30,Boston Celtics,126,Washington Wizards,107,BOS,WAS
2023-10-30,Brooklyn Nets,133,Charlotte Hornets,121,BRK,CHO
2023-10-30,Portland Trail Blazers,99,Toronto Raptors,91,POR,TOR
2023-10-30,Minnesota Timberwolves,113,Atlanta Hawks,127,MIN,ATL
2023-10-30,Dallas Mavericks,125,Memphis Grizzlies,110,DAL,MEM
2023-10-30,Miami Heat,114,Milwaukee Bucks,122,MIA,MIL
2023-10-30,Golden State Warriors,130,New Orleans Pelicans,102,GSW,NOP
2023-10-30,Detroit Pistons,112,Oklahoma City Thunder,124,DET,OKC
2023-10-30,Utah Jazz,102,Denver Nuggets,110,UTA,DEN
2023-10-30,Orlando Magic,103,Los Angeles Lakers,106,ORL,LAL
2023-10-31,New York Knicks,109,Cleveland Cavaliers,91,NYK,CLE
2023-10-31,San Antonio Spurs,115,Phoenix Suns,114,SAS,PHO
2023-10-31,Orlando Magic,102,Los Angeles Clippers,118,ORL,LAC
2023-11-01,Portland Trail Blazers,110,Detroit Pistons,101,POR,DET
2023-11-01,Milwaukee Bucks,111,Toronto Raptors,130,MIL,TOR
2023-11-01,Washington Wizards,121,Atlanta Hawks,130,WAS,ATL
2023-11-01,Indiana Pacers,104,Boston Celtics,155,IND,BOS
2023-11-01,Brooklyn Nets,109,Miami Heat,105,BRK,MIA
2023-11-01,Cleveland Cavaliers,95,New York Knicks,89,CLE,NYK
2023-11-01,New Orleans Pelicans,110,Oklahoma City Thunder,106,NOP,OKC
2023-11-01,Charlotte Hornets,119,Houston Rockets,128,CHO,HOU
