Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-24,35-224,GSW,,PHO,L (-4),1,30:45,8,20,.400,4,14,.286,7,7,1.000,1,4,5,1,1,0,2,5,27,15.8,-9
2,2,2023-10-27,35-227,GSW,@,SAC,W (+8),1,34:50,14,19,.737,7,10,.700,6,6,1.000,1,3,4,4,2,0,4,0,41,35.7,+10
3,3,2023-10-29,35-229,GSW,@,HOU,W (+11),1,31:25,6,16,.375,6,14,.429,6,6,1.000,1,6,7,6,0,1,1,1,24,21.2,-2
4,4,2023-10-30,35-230,GSW,@,NOP,W (+28),1,30:02,15,22,.682,7,13,.538,5,7,.714,0,5,5,5,2,0,3,1,42,35.4,+13
5,5,2023-11-01,35-232,GSW,,SAC,W (+1),1,32:20,7,15,.467,4,10,.400,3,3,1.000,1,4,5,3,0,0,7,3,21,9.1,-6
6,6,2023-11-03,35-234,GSW,@,OKC,W (+2),1,31:23,9,15,.600,5,10,.500,7,7,1.000,3,5,8,7,2,0,3,1,30,30.2,+5
7,7,2023-11-05,35-236,GSW,@,CLE,L (-11),1,30:49,8,16,.500,7,11,.636,5,6,.833,0,2,2,4,1,0,6,0,28,18.0,-6
8,8,2023-11-06,35-237,GSW,@,DET,W (+11),1,32:37,12,26,.462,7,17,.412,3,4,.750,0,2,2,4,0,0,3,1,34,20.2,+17
9,9,2023-11-08,35-239,GSW,@,DEN,L (-3),1,34:28,6,17,.353,6,13,.462,5,5,1.000,1,4,5,4,1,0,3,2,23,15.4,-10
10,10,2023-11-11,35-242,GSW,,CLE,L (-8),1,32:33,9,24,.375,4,14,.286,8,8,1.000,1,2,3,2,1,1,4,1,30,16.8,-8
11,11,2023-11-12,35-243,GSW,,MIN,L (-6),1,36:07,11,25,.440,5,13,.385,11,12,.917,1,4,5,3,1,0,5,2,38,23.7,-4
12,,2023-11-14,35-245,GSW,,MIN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2023-11-16,35-247,GSW,,OKC,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,12,2023-11-18,35-249,GSW,,OKC,L (-7),1,40:16,8,21,.381,5,11,.455,4,4,1.000,0,7,7,3,0,0,2,2,25,14.9,0
15,13,2023-11-20,35-251,GSW,,HOU,W (+5),1,34:47,8,14,.571,5,9,.556,11,12,.917,0,5,5,1,0,0,4,2,32,22.4,-3
16,14,2023-11-22,35-253,GSW,@,PHO,L (-8),1,27:42,6,15,.400,1,8,.125,3,3,1.000,0,3,3,6,0,0,2,2,16,10.2,-17
17,15,2023-11-24,35-255,GSW,,SAS,W (+6),1,34:49,11,20,.550,7,14,.500,6,6,1.000,0,3,3,6,1,0,6,2,35,24.7,+4
18,16,2023-11-28,35-259,GSW,@,SAC,L (-1),1,37:03,8,20,.400,4,12,.333,9,9,1.000,3,7,10,6,0,1,5,5,29,20.3,+7
19,17,2023-11-30,35-261,GSW,,LAC,W (+6),1,33:00,8,15,.533,3,9,.333,7,9,.778,0,7,7,8,1,1,2,2,26,24.5,-4
20,18,2023-12-02,35-263,GSW,@,LAC,L (-1),1,36:36,7,18,.389,4,9,.444,4,4,1.000,1,3,4,11,0,0,2,0,22,19.5,+2
21,19,2023-12-06,35-267,GSW,,POR,W (+4),1,34:28,8,18,.444,5,13,.385,10,11,.909,0,5,5,1,0,0,4,2,31,18.6,+4
22,20,2023-12-08,35-269,GSW,@,OKC,L (-2),1,40:21,10,20,.500,6,12,.500,8,8,1.000,0,6,6,3,1,0,3,0,34,25.9,-5
23,21,2023-12-12,35-273,GSW,@,PHO,L (-3),1,32:04,8,24,.333,4,15,.267,4,4,1.000,0,5,5,4,3,0,1,2,24,15.9,-15
24,22,2023-12-14,35-275,GSW,@,LAC,L (-8),1,34:02,5,17,.294,3,13,.231,4,4,1.000,0,4,4,4,0,0,1,3,17,8.9,-3
25,23,2023-12-16,35-277,GSW,,BRK,W (+4),1,35:02,14,22,.636,6,8,.750,3,3,1.000,0,3,3,1,0,3,3,1,37,27.5,+7
26,24,2023-12-17,35-278,GSW,@,POR,W (+4),1,31:14,2,12,.167,0,8,.000,3,4,.750,0,2,2,8,1,1,4,1,7,2.5,+14
27,25,2023-12-19,35-280,GSW,,BOS,W (+6),1,38:18,11,21,.524,6,11,.545,5,5,1.000,0,3,3,6,0,0,4,5,33,21.8,+8
28,26,2023-12-22,35-283,GSW,,WAS,W (+11),1,26:54,9,18,.500,8,13,.615,4,5,.800,0,4,4,7,0,1,2,0,30,25.4,-1
